18
10, 202, 213, 36.384354, 2
10, 183, 250, 17.10273, 2
10, 190, 229, 30.256437, 1
10, 198, 270, -61.55707, 0
10, 212, 264, -114.443954, 0
10, 224, 257, -128.29016, 0
10, 236, 247, -146.97614, 0
10, 223, 214, 114.77514, 0
10, 235, 219, 123.69007, 0
10, 218, 226, 126.869896, 0
10, 218, 245, -119.35775, 0
10, 205, 250, -98.130104, 0
8, 214, 367, -27.299572, 1
8, 238, 411, -55.40771, 1
8, 174, 384, -128.85338, 1
8, 230, 440, 22.714413, 1
9, 115, 587, 37.746807, 1
9, 83, 600, 76.75948, 1
