29
3, 458, 69, 151.11342, 1
3, 431, 69, 95.35583, 1
3, 404, 80, 71.56505, 1
4, 271, 170, 68.19859, 1
4, 248, 188, 17.650124, 1
4, 299, 190, 123.69007, 1
4, 269, 195, 38.65981, 1
4, 312, 206, 14.620874, 1
6, 248, 286, -10.619656, 2
6, 273, 379, -100.407715, 2
6, 256, 335, -13.570435, 2
6, 293, 317, -160.821, 2
5, 271, 242, 17.525568, 2
5, 296, 239, 103.24052, 1
5, 290, 259, -70.01689, 1
5, 311, 241, 94.76364, 0
5, 331, 269, -151.69925, 0
5, 319, 278, -138.57634, 0
5, 303, 275, -63.434948, 0
7, 322, 384, -77.61924, 2
7, 305, 354, -29.248827, 1
7, 361, 341, -148.57043, 1
7, 341, 371, -141.84277, 0
7, 347, 359, -143.1301, 0
7, 318, 345, 61.38954, 0
7, 330, 337, 41.987213, 0
7, 349, 323, 123.69007, 0
7, 322, 363, -48.36646, 0
7, 335, 312, -146.97614, 0
