25
1, 349, 249, -57.380756, 2
1, 427, 190, 114.623566, 1
1, 424, 210, -173.6598, 0
1, 424, 221, 180.0, 0
1, 422, 232, -163.30075, 0
1, 410, 242, -107.525566, 0
1, 398, 240, -87.39744, 0
1, 384, 239, -83.29016, 0
1, 369, 239, -151.38954, 0
1, 344, 226, 29.054604, 0
1, 349, 215, 33.690067, 0
1, 362, 206, 47.72631, 1
1, 382, 211, 119.74488, 1
1, 402, 217, 96.340195, 1
0, 416, 279, -123.69007, 1
0, 381, 273, -53.426968, 1
0, 358, 293, 6.115504, 1
0, 381, 309, -77.47119, 1
0, 434, 298, -167.00539, 1
0, 394, 288, -75.96375, 1
2, 421, 157, 180.0, 2
2, 406, 118, 129.80557, 2
2, 366, 122, 90.0, 2
2, 334, 133, 57.094757, 2
2, 344, 162, -17.592424, 2
